slug,task_idx,task_text,importance,batch_idx,extraction_timestamp,knn_desire,knn_capability,knn_zone,knn_max_cosine,knn_mean_top5_cosine,knn_top1_workbank_task_id,knn_top1_workbank_task
variant,0,Generate creative content concepts based on brand guidelines and objectives,5,0,2026-04-24T17:36:45.246329+00:00,2.488239584945432,3.2001140677174087,Low-Priority,0.5125,0.47603154,16194,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas."
variant,1,Analyze creative performance data to identify high-impact visual patterns,4,0,2026-04-24T17:36:45.246329+00:00,2.832042928535563,3.222517244620666,Low-Priority,0.42260376,0.395169,16194,"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas."
variant,2,Produce multiple creative variations for A/B testing and campaign optimization,4,0,2026-04-24T17:36:45.246329+00:00,3.4135499887714293,3.340582506799203,Yellow,0.47500458,0.4372221,20327,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods."
clarus,0,Aggregate and consolidate private market fund data for limited partners,5,0,2026-04-24T17:36:45.246329+00:00,3.08778801173344,3.7109715567282255,Green,0.40815306,0.3677519,2494,Access computerized financial information to answer general questions as well as those related to specific accounts.
clarus,1,Generate portfolio performance reports across multiple private market investments,5,0,2026-04-24T17:36:45.246329+00:00,3.3174666508351733,3.4837833083174394,Yellow,0.5119596,0.49175152,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."
clarus,2,"Monitor capital calls, distributions, and NAV updates across fund holdings",4,0,2026-04-24T17:36:45.246329+00:00,3.642778197617043,3.8620397016818098,Green,0.51052636,0.4761634,20188,Monitor financial market trends to ensure that client plans are responsive.
clarus,3,Benchmark LP portfolio performance against industry and peer fund data,3,0,2026-04-24T17:36:45.246329+00:00,3.026053277767965,3.3404183140170436,Yellow,0.39266178,0.37088493,12913,"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections."
zeroframe,0,Develop and deploy advanced AI models for complex reasoning tasks,5,0,2026-04-24T17:36:45.246329+00:00,3.210499428519749,3.6728395090708212,Green,0.34905407,0.3174018,1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language."
zeroframe,1,Research novel AI architectures to extend capability boundaries,4,0,2026-04-24T17:36:45.246329+00:00,3.4900131001998234,2.4534348879881462,Yellow,0.36664173,0.35062164,136,Integrate engineering elements into unified architectural designs.
zeroframe,2,Evaluate AI model performance against established benchmarks and metrics,3,0,2026-04-24T17:36:45.246329+00:00,3.2377516767902743,3.769944411835663,Green,0.42834195,0.37678513,14719,Recommend and implement performance improvements.
