slug,task_idx,task_text,importance,match_source,matched_workbank_task_id,matched_workbank_task,cosine_similarity,desire_mean,capability_mean,zone
14-ai,0,Resolve customer support tickets end-to-end using AI agents without human intervention,5,inferred,2579,,0.4316,4.0,3.5,Green
14-ai,1,"Manage multi-channel customer communications across email, chat, and phone",5,inferred,15728,,0.4547,3.5,3.5,Green
14-ai,2,Classify and route incoming support requests to appropriate resolution workflows,4,inferred,14643,,0.5079,4.5,4.5,Green
14-ai,3,Maintain customer interaction history and context across multiple support sessions,4,inferred,18940,,0.4886,4.5,4.5,Green
14-ai,4,Escalate complex cases to human agents with full conversation context attached,3,inferred,22655,,0.3879,4.0,4.0,Green
1849-bio,0,Engineer microorganisms to extract copper and gold from low-grade ore deposits,5,inferred,3581,,0.2866,4.0,1.5,Yellow
1849-bio,1,Design and develop novel bioengineering tools for mining-relevant microbial organisms,5,inferred,15458,,0.4093,3.0,1.5,Yellow
1849-bio,2,Optimize microbial metal extraction performance through synthetic biology techniques,4,inferred,16814,,0.2755,3.5,2.0,Yellow
1849-bio,3,Evaluate ore composition to identify candidate deposits for biomining applications,3,inferred,20619,,0.3431,4.0,3.5,Green
1849-bio,4,Characterize microbial performance in field conditions to validate extraction yields,3,inferred,18295,,0.362,3.5,2.0,Yellow
a0-dev,0,Generate complete React Native project scaffolding from natural language app descriptions,5,inferred,22528,,0.4267,3.5,4.0,Green
a0-dev,1,Produce custom UI components and screen layouts from product requirements,5,inferred,299,,0.5175,3.0,3.5,Green
a0-dev,2,Integrate platform APIs and third-party services into generated mobile app code,4,inferred,14707,,0.3855,3.5,3.5,Green
a0-dev,3,Iterate on app features and fix bugs based on developer feedback prompts,4,inferred,14643,,0.5972,3.0,3.5,Green
a0-dev,4,Configure build and deployment settings for App Store and Play Store submission,3,inferred,16152,,0.3502,4.5,4.0,Green
a1base,0,Route inbound and outbound messages between AI agents and users across communication channels,5,inferred,778,,0.3426,4.5,4.0,Green
a1base,1,"Provision phone numbers, email addresses, and messaging identities for AI agents",5,inferred,23322,,0.4842,4.5,4.0,Green
a1base,2,"Deliver AI-generated messages via SMS, WhatsApp, email, and Slack integrations",5,inferred,14713,,0.394,4.5,4.5,Green
a1base,3,Manage conversation threading and session state across multi-channel agent interactions,4,inferred,23274,,0.3788,4.5,3.5,Green
a1base,4,Log and monitor agent communication activity for compliance and debugging purposes,3,inferred,14723,,0.5504,4.5,4.5,Green
abel,0,Review large document sets to identify relevant evidence for litigation matters,5,inferred,23281,,0.5686,5.0,4.5,Green
abel,1,Answer specific legal questions by synthesizing information across thousands of documents,5,inferred,768,,0.5093,3.5,3.5,Green
abel,2,"Classify and tag documents by relevance, privilege, and issue category",4,inferred,14744,,0.4334,4.5,4.0,Green
abel,3,"Surface key facts and contradictions across depositions, contracts, and filings",4,inferred,3975,,0.4058,4.0,3.5,Green
abel,4,Accelerate attorney review workflows by prioritizing high-value document sets,3,inferred,11363,,0.4784,4.0,3.5,Green
abel-police,0,Transcribe body camera footage into structured incident narrative text,5,inferred,20560,,0.4632,4.5,4.5,Green
abel-police,1,Generate completed police incident reports from raw video evidence,5,inferred,23281,,0.411,4.5,4.0,Green
abel-police,2,Extract key facts and chronology from recorded law enforcement encounters,4,inferred,2706,,0.4416,4.5,4.5,Green
abel-police,3,Format report content to comply with departmental documentation standards,4,inferred,1340,,0.5702,4.5,4.5,Green
abel-police,4,Reduce officer time spent on administrative documentation during shifts,3,inferred,2809,,0.4657,4.5,4.0,Green
