slug,source_B_status,source_B_live
variant,Active,True
clarus,Active,True
zeroframe,Inactive,False
riveter-ai,Active,True
galini,Active,True
avora,Active,True
telli,Active,True
symphony,Active,True
streamable,Active,True
crouton,Active,True
durate,Active,True
gait,Inactive,False
moonset-health,Active,True
candle,Active,True
getcho,Active,True
darkgrade,Active,True
openfunnel,Active,True
healthspark,Active,True
rulebase,Active,True
afternoon-co,Active,True
lightscreen-ai,Active,True
raycaster,Active,True
supercontrast,Inactive,False
revyl,Active,True
vortexifyai,Active,True
vespper,Active,True
sandra-ai,Active,True
archil,Active,True
cekura-ai,Active,True
cosmic-new,Active,True
astrix-health,Active,True
reticular,Active,True
smooth,Active,True
attimet,Active,True
issen,Active,True
revisiondojo,Active,True
ctgt,Active,True
riskcube,Active,True
keye,Active,True
luthor,Active,True
sphinx,Active,True
lingodotdev,Active,True
karmen,Active,True
codebuff,Active,True
hybrd,Active,True
withcharm,Active,True
unusual,Active,True
platus,Active,True
stewdio,Active,True
pearson-labs,Active,True
vly-ai-2,Active,True
tiny,Active,True
crustdata,Active,True
autocomputer,Active,True
moonshine,Active,True
dexter,Active,True
curo,Active,True
gecko-security,Active,True
permitportal,Active,True
fresco,Active,True
origami-2,Active,True
collectwise,Active,True
consus,Active,True
capy,Active,True
innate,Active,True
gander,Acquired,True
alex,Active,True
browserbook,Active,True
diffusion-studio,Active,True
metreecs,Active,True
revi,Active,True
archilabs,Active,True
sunset,Active,True
surge,Active,True
edgedive,Active,True
futureclinic,Active,True
forerunner-ai,Active,True
x1,Active,True
vaya,Active,True
melder,Active,True
ryvn,Active,True
sre-ai,Active,True
friday,Active,True
relvy-ai,Active,True
ember,Active,True
canvas,Active,True
careforce,Active,True
synth-3,Active,True
roundabout-technologies,Active,True
loombotic,Active,True
humanlayer,Active,True
apolink,Active,True
asha-health,Active,True
openbuilder,Active,True
goldbridge,Active,True
piggy-robotics,Active,True
fifth-door,Active,True
autonomous-technologies-group,Active,True
prox,Active,True
parametric,Active,True
null-labs,Active,True
nori,Active,True
fernstone,Active,True
mixy,Active,True
